observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2012,wikidataId/Q1159,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,3794020300000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1162,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,110626900000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1164,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,1431749100000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1165,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,2471439614059,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1168,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,1580738200000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1171,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,423666564855,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1061,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,6156060699313,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1174,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,2975385206824,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1177,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,727198295259,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1184,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,1509175900000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1185,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,6060098063806,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1186,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,3640478893852,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1188,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,3155615900000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1191,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,12803694378754,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1193,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,129145958000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1195,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,199177483790,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1502,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,72586900000,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1599,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,121767418687,INR,ConstantPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q22048,dcid:Amount_EconomicActivity_GrossDomesticProduction_RealValue,2309870751957,INR,ConstantPrice_WithBaseYear2011_12,P1Y
