observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2012,wikidataId/Q1159,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3794020300000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1162,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,110626900000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1164,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1431749100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1165,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2471439606430,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1168,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1580738209457,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1171,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,423666580730,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1061,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,6156060741365,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1174,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2975385206824,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1177,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,727198293213,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1184,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1509175900000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1185,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,6060098108049,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1186,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3640478785762,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1188,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3155615900000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1191,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,12803694378754,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1193,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,129145991000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1195,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,199177483790,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1502,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,72586900000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1599,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,121767643608,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q22048,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2309870751957,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q22424,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2666282723751,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1437,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,4348366365780,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1505,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,111650968370,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1445,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,7514857583220,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q677037,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3594341100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1363,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,192084100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1498,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,7240504432174,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1499,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1153275800000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q1356,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,5204850454179,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q40888,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,39784317485,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q120971341,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,187681591572,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q9357528,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3437975013094,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q66278313,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,782555480824,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2012,wikidataId/Q66743,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,168180100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1159,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,4114037100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1162,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,125466200000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1164,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1568642400000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1165,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2823679309410,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1168,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1775113291282,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1171,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,381200170772,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1061,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,7244953612329,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1174,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3470320126693,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1177,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,828197861608,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1184,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1747236900000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1185,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,6954130224883,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1186,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,4123130035660,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1188,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3809248000000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1191,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,14596286275590,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1193,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,137432438000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1195,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,218720237271,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1502,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,83619300000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1599,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,141212696534,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q22048,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2616996018716,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q22424,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2977338215586,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1437,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,4935512413929,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1505,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,123384203751,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1445,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,8548253506841,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q677037,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,4015936100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1363,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,216632000000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1498,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,8223929176070,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1499,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1316128400000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q1356,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,5914646991435,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q40888,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,44211786739,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q120971341,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,216085580151,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q9357528,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3913876392303,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q66278313,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,871377340696,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2013,wikidataId/Q66743,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,188754500000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1159,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,4642720100000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1162,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,145810700000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1164,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,1777452200000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1165,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3171013413196,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1168,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,2068331800000,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1171,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,359211042798,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1061,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,8076231939664,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1174,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,3992681161898,INR,CurrentPrice_WithBaseYear2011_12,P1Y
2014,wikidataId/Q1177,dcid:Amount_EconomicActivity_GrossDomesticProduction_Nominal,947641538455,INR,CurrentPrice_WithBaseYear2011_12,P1Y
