observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode02,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode02,USDollar,ExportsInUSD
country/IND,2021,23.29,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode12,Percent,ExportsInUSD
country/IND,2021,45.51,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode13,Percent,ExportsInUSD
country/IND,2021,-42.96,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode14,Percent,ExportsInUSD
country/IND,2021,31.38,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode15,Percent,ExportsInUSD
country/IND,2021,66.81,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode16,Percent,ExportsInUSD
country/IND,2021,71.73,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode17,Percent,ExportsInUSD
country/IND,2021,37.01,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode19,Percent,ExportsInUSD
country/IND,2021,4.1,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode22,Percent,ExportsInUSD
country/IND,2021,84.07,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode23,Percent,ExportsInUSD
country/IND,2021,-21.34,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode24,Percent,ExportsInUSD
country/IND,2021,-17.93,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode25,Percent,ExportsInUSD
country/IND,2021,236.5,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode27,Percent,ExportsInUSD
country/IND,2021,2.78,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode29,Percent,ExportsInUSD
country/IND,2021,31.19,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode30,Percent,ExportsInUSD
country/IND,2021,100.08,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode31,Percent,ExportsInUSD
country/IND,2021,-10.54,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode32,Percent,ExportsInUSD
country/IND,2021,51.47,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode33,Percent,ExportsInUSD
country/IND,2021,0.13,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode34,Percent,ExportsInUSD
country/IND,2021,-2.19,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode35,Percent,ExportsInUSD
country/IND,2021,141.21,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode36,Percent,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode37,USDollar,ExportsInUSD
country/IND,2021,12342.97,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode37,Percent,ExportsInUSD
country/IND,2021,114.91,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode38,Percent,ExportsInUSD
country/IND,2021,25.8,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode39,Percent,ExportsInUSD
country/IND,2021,21.7,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode40,Percent,ExportsInUSD
country/IND,2021,-60.64,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode41,Percent,ExportsInUSD
country/IND,2021,60.31,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode43,Percent,ExportsInUSD
country/IND,2021,29.78,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode44,Percent,ExportsInUSD
country/IND,2021,198.66,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode45,Percent,ExportsInUSD
country/IND,2021,-5.87,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode46,Percent,ExportsInUSD
country/IND,2021,14.21,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode48,Percent,ExportsInUSD
country/IND,2021,17.65,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode49,Percent,ExportsInUSD
country/IND,2021,21.95,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode50,Percent,ExportsInUSD
country/IND,2021,54.18,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode51,Percent,ExportsInUSD
country/IND,2021,52.16,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode52,Percent,ExportsInUSD
country/IND,2021,23.21,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode53,Percent,ExportsInUSD
country/IND,2021,17.56,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode54,Percent,ExportsInUSD
country/IND,2021,1.39,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode56,Percent,ExportsInUSD
country/IND,2021,34.71,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode57,Percent,ExportsInUSD
country/IND,2021,1.4,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode58,Percent,ExportsInUSD
country/IND,2021,16.13,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode59,Percent,ExportsInUSD
country/IND,2021,-19.81,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode60,Percent,ExportsInUSD
country/IND,2021,11.07,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode61,Percent,ExportsInUSD
country/IND,2021,-8.78,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode62,Percent,ExportsInUSD
country/IND,2021,29.29,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode63,Percent,ExportsInUSD
country/IND,2021,-12.77,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode64,Percent,ExportsInUSD
country/IND,2021,51.85,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode65,Percent,ExportsInUSD
country/IND,2021,213.75,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode66,Percent,ExportsInUSD
country/IND,2021,-57.18,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode67,Percent,ExportsInUSD
country/IND,2021,13.43,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode68,Percent,ExportsInUSD
country/IND,2021,15.04,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode69,Percent,ExportsInUSD
country/IND,2021,21.02,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode70,Percent,ExportsInUSD
country/IND,2021,11.73,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode71,Percent,ExportsInUSD
country/IND,2021,46.84,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode72,Percent,ExportsInUSD
country/IND,2021,38.05,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode73,Percent,ExportsInUSD
country/IND,2021,23.84,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode74,Percent,ExportsInUSD
country/IND,2021,109.98,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode75,Percent,ExportsInUSD
country/IND,2021,61.11,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode76,Percent,ExportsInUSD
country/IND,2021,-69.28,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode78,Percent,ExportsInUSD
country/IND,2021,-29.37,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode79,Percent,ExportsInUSD
country/IND,2021,-71.85,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode80,Percent,ExportsInUSD
country/IND,2021,-42.17,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode81,Percent,ExportsInUSD
country/IND,2021,16.71,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode82,Percent,ExportsInUSD
country/IND,2021,32.05,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode84,Percent,ExportsInUSD
country/IND,2021,43.23,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode85,Percent,ExportsInUSD
country/IND,2021,-95.43,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode86,Percent,ExportsInUSD
country/IND,2021,37.18,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode87,Percent,ExportsInUSD
country/IND,2021,-74.86,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode88,Percent,ExportsInUSD
country/IND,2021,-82.12,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode89,Percent,ExportsInUSD
country/IND,2021,22.33,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode90,Percent,ExportsInUSD
country/IND,2021,102.85,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode91,Percent,ExportsInUSD
country/IND,2021,-52.36,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode92,Percent,ExportsInUSD
country/IND,2021,-38.23,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode93,Percent,ExportsInUSD
country/IND,2021,35.84,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode94,Percent,ExportsInUSD
country/IND,2021,17.17,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode95,Percent,ExportsInUSD
country/IND,2021,12.91,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode96,Percent,ExportsInUSD
country/IND,2021,-48.1,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode97,Percent,ExportsInUSD
country/IND,2021,-55.12,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode98,Percent,ExportsInUSD
country/IND,2021,90.1,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode99,Percent,ExportsInUSD
country/IND,2020,297400000,dcid:Exports_EconomicActivity_CountryARE_HSCode94,USDollar,ExportsInUSD
country/IND,2020,81580000,dcid:Exports_EconomicActivity_CountryARE_HSCode95,USDollar,ExportsInUSD
country/IND,2020,255560000,dcid:Exports_EconomicActivity_CountryARE_HSCode96,USDollar,ExportsInUSD
country/IND,2020,29980000,dcid:Exports_EconomicActivity_CountryARE_HSCode97,USDollar,ExportsInUSD
country/IND,2020,12880000,dcid:Exports_EconomicActivity_CountryARE_HSCode98,USDollar,ExportsInUSD
country/IND,2020,50000,dcid:Exports_EconomicActivity_CountryARE_HSCode99,USDollar,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode0210,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode0210,USDollar,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode2844,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode2844,USDollar,ExportsInUSD
country/IND,2021,0,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode2844,Percent,ExportsInUSD
country/IND,2021,-18.84,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3401,Percent,ExportsInUSD
country/IND,2021,43.31,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3404,Percent,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode3604,USDollar,ExportsInUSD
country/IND,2021,379.2,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3604,Percent,ExportsInUSD
country/IND,2021,2.32,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3913,Percent,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode5703,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode6002,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryAUS_HSCode6602,USDollar,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryARE_HSCode0105,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryARE_HSCode0105,USDollar,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryARE_HSCode0207,USDollar,ExportsInUSD
country/IND,2021,0,dcid:Exports_EconomicActivity_CountryARE_HSCode0207,USDollar,ExportsInUSD
country/IND,2021,7590000,dcid:Exports_EconomicActivity_CountryARE_HSCode0713,USDollar,ExportsInUSD
country/IND,2020,0,dcid:Exports_EconomicActivity_CountryARE_HSCode1509,USDollar,ExportsInUSD
