typeOf,observationDate,observationAbout,value,unit,variableMeasured
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode02
dcs:StatVarObservation,2021,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode02
dcs:StatVarObservation,2021,country/IND,23.29,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode12
dcs:StatVarObservation,2021,country/IND,45.51,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode13
dcs:StatVarObservation,2021,country/IND,-42.96,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode14
dcs:StatVarObservation,2021,country/IND,31.38,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode15
dcs:StatVarObservation,2021,country/IND,66.81,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode16
dcs:StatVarObservation,2021,country/IND,71.73,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode17
dcs:StatVarObservation,2021,country/IND,37.01,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode19
dcs:StatVarObservation,2021,country/IND,4.1,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode22
dcs:StatVarObservation,2021,country/IND,84.07,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode23
dcs:StatVarObservation,2021,country/IND,-21.34,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode24
dcs:StatVarObservation,2021,country/IND,-17.93,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode25
dcs:StatVarObservation,2021,country/IND,236.5,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode27
dcs:StatVarObservation,2021,country/IND,2.78,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode29
dcs:StatVarObservation,2021,country/IND,31.19,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode30
dcs:StatVarObservation,2021,country/IND,100.08,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode31
dcs:StatVarObservation,2021,country/IND,-10.54,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode32
dcs:StatVarObservation,2021,country/IND,51.47,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode33
dcs:StatVarObservation,2021,country/IND,0.13,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode34
dcs:StatVarObservation,2021,country/IND,-2.19,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode35
dcs:StatVarObservation,2021,country/IND,141.21,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode36
dcs:StatVarObservation,2020,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode37
dcs:StatVarObservation,2021,country/IND,12342.97,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode37
dcs:StatVarObservation,2021,country/IND,114.91,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode38
dcs:StatVarObservation,2021,country/IND,25.8,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode39
dcs:StatVarObservation,2021,country/IND,21.7,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode40
dcs:StatVarObservation,2021,country/IND,-60.64,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode41
dcs:StatVarObservation,2021,country/IND,60.31,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode43
dcs:StatVarObservation,2021,country/IND,29.78,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode44
dcs:StatVarObservation,2021,country/IND,198.66,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode45
dcs:StatVarObservation,2021,country/IND,-5.87,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode46
dcs:StatVarObservation,2021,country/IND,14.21,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode48
dcs:StatVarObservation,2021,country/IND,17.65,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode49
dcs:StatVarObservation,2021,country/IND,21.95,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode50
dcs:StatVarObservation,2021,country/IND,54.18,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode51
dcs:StatVarObservation,2021,country/IND,52.16,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode52
dcs:StatVarObservation,2021,country/IND,23.21,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode53
dcs:StatVarObservation,2021,country/IND,17.56,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode54
