observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,33630000,dcid:Exports_EconomicActivity_AnimalsLive,USDollar,ExportsInUSD
country/IND,2020,0.0107,dcid:Exports_EconomicActivity_AnimalsLive_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,8540000,dcid:Exports_EconomicActivity_AnimalsLive,USDollar,ExportsInUSD
country/IND,2021,0.0029,dcid:Exports_EconomicActivity_AnimalsLive_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-74.6,dcid:GrowthRate_Exports_EconomicActivity_AnimalsLive,Percent,ExportsInUSD
country/IND,2020,3300690000,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal,USDollar,ExportsInUSD
country/IND,2020,1.0533,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,3223270000,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal,USDollar,ExportsInUSD
country/IND,2021,1.1046,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-2.35,dcid:GrowthRate_Exports_EconomicActivity_MeatAndEdibleMeatOffal,Percent,ExportsInUSD
country/IND,2020,6159240000,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,USDollar,ExportsInUSD
country/IND,2020,1.9655,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,5235390000,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,USDollar,ExportsInUSD
country/IND,2021,1.7941,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-15,dcid:GrowthRate_Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,Percent,ExportsInUSD
country/IND,2020,353630000,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,USDollar,ExportsInUSD
country/IND,2020,0.1129,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,351850000,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,USDollar,ExportsInUSD
country/IND,2021,0.1206,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-0.5,dcid:GrowthRate_Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,Percent,ExportsInUSD
country/IND,2020,93700000,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr,USDollar,ExportsInUSD
country/IND,2020,0.0299,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,96740000,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr,USDollar,ExportsInUSD
country/IND,2021,0.0332,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,3.25,dcid:GrowthRate_Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr,Percent,ExportsInUSD
