observationAbout,observationDate,value,variableMeasured,unit
country/AFG,2024,355450000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AFG,2024,0.0813,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AFG,2025,318910000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AFG,2025,0.0729,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AFG,2025,-10.28,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ALB,2024,1154050000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ALB,2024,0.264,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ALB,2025,77360000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ALB,2025,0.0177,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ALB,2025,-93.3,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DZA,2024,848160000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DZA,2024,0.1941,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DZA,2025,947040000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DZA,2025,0.2164,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DZA,2025,11.66,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ASM,2024,4150000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ASM,2024,0.0009,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ASM,2025,2460000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ASM,2025,0.0006,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ASM,2025,-40.72,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AND,2024,320000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AND,2024,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AND,2025,260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AND,2025,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AND,2025,-16.98,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AGO,2024,697720000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AGO,2024,0.1596,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AGO,2025,524350000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AGO,2025,0.1198,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AGO,2025,-24.85,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AIA,2024,260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AIA,2024,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AIA,2025,210000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AIA,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AIA,2025,-20.2,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ATA,2024,260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ATA,2024,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ATA,2025,260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ATA,2025,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ATA,2025,-0.45,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ATG,2024,14970000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ATG,2024,0.0034,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ATG,2025,4760000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ATG,2025,0.0011,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ATG,2025,-68.18,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ARG,2024,1085750000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ARG,2024,0.2484,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ARG,2025,1018540000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ARG,2025,0.2327,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ARG,2025,-6.19,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ARM,2024,94460000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ARM,2024,0.0216,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ARM,2025,264510000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ARM,2025,0.0604,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ARM,2025,180.01,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ABW,2024,14790000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ABW,2024,0.0034,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ABW,2025,11840000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ABW,2025,0.0027,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ABW,2025,-19.94,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AUS,2024,7940750000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AUS,2024,1.8168,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AUS,2025,8581380000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AUS,2025,1.9605,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AUS,2025,8.07,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AUT,2024,1136410000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AUT,2024,0.26,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AUT,2025,1405720000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AUT,2025,0.3212,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AUT,2025,23.7,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AZE,2024,89670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AZE,2024,0.0205,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AZE,2025,93970000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/AZE,2025,0.0215,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/AZE,2025,4.79,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BHS,2024,106340000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BHS,2024,0.0243,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BHS,2025,11470000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BHS,2025,0.0026,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BHS,2025,-89.21,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BHR,2024,909420000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BHR,2024,0.2081,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BHR,2025,797470000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BHR,2025,0.1822,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BHR,2025,-12.31,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BGD,2024,11065870000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BGD,2024,2.5318,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BGD,2025,11485260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BGD,2025,2.624,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BGD,2025,3.79,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRB,2024,18830000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/BRB,2024,0.0043,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/BRB,2025,27610000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
