observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod,MeasurementPeriod
wikidataId/Q1159,2024,2340,dcid:Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2285,dcid:Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2311,dcid:Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1159,2024,2252,dcid:Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1159,2024,2497,dcid:Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2510,dcid:Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1159,2024,2466,dcid:Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1159,2024,2473,dcid:Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1162,2024,2326,dcid:Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1162,2024,2722,dcid:Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIUnadjusted,
wikidataId/Q1162,2024,2297,dcid:Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
wikidataId/Q1162,2024,2685,dcid:Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,KiloCalorie,,MospiNIIAdjusted,
