observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,2380100000,dcid:Exports_EconomicActivity_AnimalsLive,INR,ExportsInUSD
country/IND,2020,0.0107,dcid:Exports_EconomicActivity_AnimalsLive_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,632400000,dcid:Exports_EconomicActivity_AnimalsLive,INR,ExportsInUSD
country/IND,2021,0.0029,dcid:Exports_EconomicActivity_AnimalsLive_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-73.43,dcid:GrowthRate_Exports_EconomicActivity_AnimalsLive,Percent,ExportsInUSD
country/IND,2020,233750400000,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal,INR,ExportsInUSD
country/IND,2020,1.053,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,238458000000,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal,INR,ExportsInUSD
country/IND,2021,1.1045,dcid:Exports_EconomicActivity_MeatAndEdibleMeatOffal_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,2.01,dcid:GrowthRate_Exports_EconomicActivity_MeatAndEdibleMeatOffal,Percent,ExportsInUSD
country/IND,2020,436269500000,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,INR,ExportsInUSD
country/IND,2020,1.9653,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,387956400000,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,INR,ExportsInUSD
country/IND,2021,1.7969,dcid:Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-11.07,dcid:GrowthRate_Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,Percent,ExportsInUSD
country/IND,2020,25030800000,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,INR,ExportsInUSD
country/IND,2020,0.1128,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,26063200000,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,INR,ExportsInUSD
country/IND,2021,0.1207,dcid:Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,4.12,dcid:GrowthRate_Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,Percent,ExportsInUSD
country/IND,2020,6644900000,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr,INR,ExportsInUSD
country/IND,2020,0.0299,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7160400000,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr,INR,ExportsInUSD
country/IND,2021,0.0332,dcid:Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7.76,dcid:GrowthRate_Exports_EconomicActivity_AnimalOriginatedProductsNotElsewhereSpecifiedOr,Percent,ExportsInUSD
country/IND,2020,5416100000,dcid:Exports_EconomicActivity_TreesAndOtherPlantsLiveBulbsRootsAndTheLikeCut,INR,ExportsInUSD
country/IND,2020,0.0244,dcid:Exports_EconomicActivity_TreesAndOtherPlantsLiveBulbsRootsAndTheLikeCut_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,5759900000,dcid:Exports_EconomicActivity_TreesAndOtherPlantsLiveBulbsRootsAndTheLikeCut,INR,ExportsInUSD
country/IND,2021,0.0267,dcid:Exports_EconomicActivity_TreesAndOtherPlantsLiveBulbsRootsAndTheLikeCut_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,6.35,dcid:GrowthRate_Exports_EconomicActivity_TreesAndOtherPlantsLiveBulbsRootsAndTheLikeCut,Percent,ExportsInUSD
country/IND,2020,77622800000,dcid:Exports_EconomicActivity_VegetablesAndCertainRootsAndTubersEdible,INR,ExportsInUSD
country/IND,2020,0.3497,dcid:Exports_EconomicActivity_VegetablesAndCertainRootsAndTubersEdible_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,97027300000,dcid:Exports_EconomicActivity_VegetablesAndCertainRootsAndTubersEdible,INR,ExportsInUSD
country/IND,2021,0.4494,dcid:Exports_EconomicActivity_VegetablesAndCertainRootsAndTubersEdible_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,25,dcid:GrowthRate_Exports_EconomicActivity_VegetablesAndCertainRootsAndTubersEdible,Percent,ExportsInUSD
country/IND,2020,106047500000,dcid:Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons,INR,ExportsInUSD
country/IND,2020,0.4777,dcid:Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,99950500000,dcid:Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons,INR,ExportsInUSD
country/IND,2021,0.4629,dcid:Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-5.75,dcid:GrowthRate_Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons,Percent,ExportsInUSD
country/IND,2020,233790900000,dcid:Exports_EconomicActivity_CoffeeTeaMateAndSpices,INR,ExportsInUSD
country/IND,2020,1.0532,dcid:Exports_EconomicActivity_CoffeeTeaMateAndSpices_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,289164500000,dcid:Exports_EconomicActivity_CoffeeTeaMateAndSpices,INR,ExportsInUSD
country/IND,2021,1.3393,dcid:Exports_EconomicActivity_CoffeeTeaMateAndSpices_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,23.69,dcid:GrowthRate_Exports_EconomicActivity_CoffeeTeaMateAndSpices,Percent,ExportsInUSD
country/IND,2020,473334900000,dcid:Exports_EconomicActivity_Cereals,INR,ExportsInUSD
country/IND,2020,2.1323,dcid:Exports_EconomicActivity_Cereals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,747836000000,dcid:Exports_EconomicActivity_Cereals,INR,ExportsInUSD
country/IND,2021,3.4637,dcid:Exports_EconomicActivity_Cereals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,57.99,dcid:GrowthRate_Exports_EconomicActivity_Cereals,Percent,ExportsInUSD
country/IND,2020,23686500000,dcid:Exports_EconomicActivity_ProductsOfTheMillingIndustryMaltStarchesInulin,INR,ExportsInUSD
