observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/AFG,2020,70845800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AFG,2020,0.3191,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AFG,2021,61062000000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AFG,2021,0.2828,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AFG,2021,-13.81,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ALB,2020,3130500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ALB,2020,0.0141,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ALB,2021,3461900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ALB,2021,0.016,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ALB,2021,10.59,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/DZA,2020,43168700000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/DZA,2020,0.1945,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/DZA,2021,43981000000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/DZA,2021,0.2037,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/DZA,2021,1.88,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
