observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2021,wikidataId/Q1159,dcid:NDAP_DengueCases_Statewise,4760,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1159,dcid:NDAP_DengueCases_Statewise,6391,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1159,dcid:NDAP_DengueCases_Statewise,6453,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1159,dcid:NDAP_DengueCases_Statewise,5555,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1159,dcid:NDAP_DengueCases_Statewise,2686,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1162,dcid:NDAP_DengueCases_Statewise,7,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1162,dcid:NDAP_DengueCases_Statewise,114,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1162,dcid:NDAP_DengueCases_Statewise,130,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1162,dcid:NDAP_DengueCases_Statewise,20,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1162,dcid:NDAP_DengueCases_Statewise,170,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1164,dcid:NDAP_DengueCases_Statewise,103,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1164,dcid:NDAP_DengueCases_Statewise,1826,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1164,dcid:NDAP_DengueCases_Statewise,8208,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1164,dcid:NDAP_DengueCases_Statewise,2271,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1164,dcid:NDAP_DengueCases_Statewise,679,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1165,dcid:NDAP_DengueCases_Statewise,633,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1165,dcid:NDAP_DengueCases_Statewise,13972,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1165,dcid:NDAP_DengueCases_Statewise,20224,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1165,dcid:NDAP_DengueCases_Statewise,10157,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1165,dcid:NDAP_DengueCases_Statewise,3902,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1168,dcid:NDAP_DengueCases_Statewise,1086,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1168,dcid:NDAP_DengueCases_Statewise,2679,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1168,dcid:NDAP_DengueCases_Statewise,2412,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1168,dcid:NDAP_DengueCases_Statewise,3523,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1168,dcid:NDAP_DengueCases_Statewise,513,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1171,dcid:NDAP_DengueCases_Statewise,649,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1171,dcid:NDAP_DengueCases_Statewise,443,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1171,dcid:NDAP_DengueCases_Statewise,512,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1171,dcid:NDAP_DengueCases_Statewise,567,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1171,dcid:NDAP_DengueCases_Statewise,105,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1172,dcid:NDAP_DengueCases_Statewise,10983,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1172,dcid:NDAP_DengueCases_Statewise,6682,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1172,dcid:NDAP_DengueCases_Statewise,7222,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1172,dcid:NDAP_DengueCases_Statewise,7891,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1172,dcid:NDAP_DengueCases_Statewise,4233,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1174,dcid:NDAP_DengueCases_Statewise,11835,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1174,dcid:NDAP_DengueCases_Statewise,8996,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1174,dcid:NDAP_DengueCases_Statewise,8081,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1174,dcid:NDAP_DengueCases_Statewise,6469,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1174,dcid:NDAP_DengueCases_Statewise,2626,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1177,dcid:NDAP_DengueCases_Statewise,349,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1177,dcid:NDAP_DengueCases_Statewise,3326,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1177,dcid:NDAP_DengueCases_Statewise,1989,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1177,dcid:NDAP_DengueCases_Statewise,3359,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1177,dcid:NDAP_DengueCases_Statewise,229,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1180,dcid:NDAP_DengueCases_Statewise,1709,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1180,dcid:NDAP_DengueCases_Statewise,8269,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1180,dcid:NDAP_DengueCases_Statewise,6403,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1180,dcid:NDAP_DengueCases_Statewise,6876,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1180,dcid:NDAP_DengueCases_Statewise,3381,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1184,dcid:NDAP_DengueCases_Statewise,220,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1184,dcid:NDAP_DengueCases_Statewise,290,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1184,dcid:NDAP_DengueCases_Statewise,2578,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1184,dcid:NDAP_DengueCases_Statewise,1528,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1184,dcid:NDAP_DengueCases_Statewise,401,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1185,dcid:NDAP_DengueCases_Statewise,7393,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1185,dcid:NDAP_DengueCases_Statewise,9889,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1185,dcid:NDAP_DengueCases_Statewise,19300,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1185,dcid:NDAP_DengueCases_Statewise,32886,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1185,dcid:NDAP_DengueCases_Statewise,7325,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q1186,dcid:NDAP_DengueCases_Statewise,3251,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q1186,dcid:NDAP_DengueCases_Statewise,4432,Count,NDAP_NCVBDC_DengueSituation,P1Y
2023,wikidataId/Q1186,dcid:NDAP_DengueCases_Statewise,17426,Count,NDAP_NCVBDC_DengueSituation,P1Y
2024,wikidataId/Q1186,dcid:NDAP_DengueCases_Statewise,20674,Count,NDAP_NCVBDC_DengueSituation,P1Y
2025,wikidataId/Q1186,dcid:NDAP_DengueCases_Statewise,10923,Count,NDAP_NCVBDC_DengueSituation,P1Y
2021,wikidataId/Q26253,dcid:NDAP_DengueCases_Statewise,1,Count,NDAP_NCVBDC_DengueSituation,P1Y
2022,wikidataId/Q26253,dcid:NDAP_DengueCases_Statewise,67,Count,NDAP_NCVBDC_DengueSituation,P1Y
