observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
1991,country/IND,dcid:NDAP_MilkPCA_National,178.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1992,country/IND,dcid:NDAP_MilkPCA_National,182.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1993,country/IND,dcid:NDAP_MilkPCA_National,186.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1994,country/IND,dcid:NDAP_MilkPCA_National,192.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1995,country/IND,dcid:NDAP_MilkPCA_National,195.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1996,country/IND,dcid:NDAP_MilkPCA_National,200.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1997,country/IND,dcid:NDAP_MilkPCA_National,205.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1998,country/IND,dcid:NDAP_MilkPCA_National,210.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1999,country/IND,dcid:NDAP_MilkPCA_National,214.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2000,country/IND,dcid:NDAP_MilkPCA_National,217.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,country/IND,dcid:NDAP_MilkPCA_National,222.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,country/IND,dcid:NDAP_MilkPCA_National,224.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,country/IND,dcid:NDAP_MilkPCA_National,225.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,country/IND,dcid:NDAP_MilkPCA_National,233.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,country/IND,dcid:NDAP_MilkPCA_National,241.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,country/IND,dcid:NDAP_MilkPCA_National,251.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,country/IND,dcid:NDAP_MilkPCA_National,260.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,country/IND,dcid:NDAP_MilkPCA_National,266.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,country/IND,dcid:NDAP_MilkPCA_National,273.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,country/IND,dcid:NDAP_MilkPCA_National,281.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,country/IND,dcid:NDAP_MilkPCA_National,289.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,country/IND,dcid:NDAP_MilkPCA_National,296.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,country/IND,dcid:NDAP_MilkPCA_National,303.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,country/IND,dcid:NDAP_MilkPCA_National,319.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,country/IND,dcid:NDAP_MilkPCA_National,333.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,country/IND,dcid:NDAP_MilkPCA_National,351.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,country/IND,dcid:NDAP_MilkPCA_National,370.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,country/IND,dcid:NDAP_MilkPCA_National,390.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,country/IND,dcid:NDAP_MilkPCA_National,406.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,country/IND,dcid:NDAP_MilkPCA_National,427.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,country/IND,dcid:NDAP_MilkPCA_National,446.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,country/IND,dcid:NDAP_MilkPCA_National,459.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,country/IND,dcid:NDAP_MilkPCA_National,471.0,gms/day,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
