observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
1991,country/IND,dcid:NDAP_MilkProduction_National,55600000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1992,country/IND,dcid:NDAP_MilkProduction_National,58000000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1993,country/IND,dcid:NDAP_MilkProduction_National,60600000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1994,country/IND,dcid:NDAP_MilkProduction_National,63800000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1995,country/IND,dcid:NDAP_MilkProduction_National,66200000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1996,country/IND,dcid:NDAP_MilkProduction_National,69100000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1997,country/IND,dcid:NDAP_MilkProduction_National,72100000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1998,country/IND,dcid:NDAP_MilkProduction_National,75400000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
1999,country/IND,dcid:NDAP_MilkProduction_National,78300000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2000,country/IND,dcid:NDAP_MilkProduction_National,80600000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,country/IND,dcid:NDAP_MilkProduction_National,84400000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,country/IND,dcid:NDAP_MilkProduction_National,86200000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,country/IND,dcid:NDAP_MilkProduction_National,88100000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,country/IND,dcid:NDAP_MilkProduction_National,92500000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,country/IND,dcid:NDAP_MilkProduction_National,97100000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,country/IND,dcid:NDAP_MilkProduction_National,102600000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,country/IND,dcid:NDAP_MilkProduction_National,107900000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,country/IND,dcid:NDAP_MilkProduction_National,112200000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,country/IND,dcid:NDAP_MilkProduction_National,116400000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,country/IND,dcid:NDAP_MilkProduction_National,121800000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,country/IND,dcid:NDAP_MilkProduction_National,127900000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,country/IND,dcid:NDAP_MilkProduction_National,132400000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,country/IND,dcid:NDAP_MilkProduction_National,137700000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,country/IND,dcid:NDAP_MilkProduction_National,146300000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,country/IND,dcid:NDAP_MilkProduction_National,155500000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,country/IND,dcid:NDAP_MilkProduction_National,165400000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,country/IND,dcid:NDAP_MilkProduction_National,176300000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,country/IND,dcid:NDAP_MilkProduction_National,187700000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,country/IND,dcid:NDAP_MilkProduction_National,198400000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,country/IND,dcid:NDAP_MilkProduction_National,210000000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,country/IND,dcid:NDAP_MilkProduction_National,222100000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,country/IND,dcid:NDAP_MilkProduction_National,230600000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,country/IND,dcid:NDAP_MilkProduction_National,239300000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
