observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2001,country/IND,dcid:NDAP_MilkProduction_Statewise,84406000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,country/IND,dcid:NDAP_MilkProduction_Statewise,86159000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,country/IND,dcid:NDAP_MilkProduction_Statewise,88082000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,country/IND,dcid:NDAP_MilkProduction_Statewise,92484000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,country/IND,dcid:NDAP_MilkProduction_Statewise,97066000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,country/IND,dcid:NDAP_MilkProduction_Statewise,102580000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,country/IND,dcid:NDAP_MilkProduction_Statewise,107934000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,country/IND,dcid:NDAP_MilkProduction_Statewise,112183000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,country/IND,dcid:NDAP_MilkProduction_Statewise,116425000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,country/IND,dcid:NDAP_MilkProduction_Statewise,121848000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,country/IND,dcid:NDAP_MilkProduction_Statewise,127904000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,country/IND,dcid:NDAP_MilkProduction_Statewise,132431000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,country/IND,dcid:NDAP_MilkProduction_Statewise,137685000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
