observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2024,wikidataId/Q1159,dcid:NDAP_UnemploymentRate_Total,4.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1159,dcid:NDAP_UnemploymentRate_Male,4.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1159,dcid:NDAP_UnemploymentRate_Female,3.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1159,dcid:NDAP_UnemploymentRate_Rural,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1159,dcid:NDAP_UnemploymentRate_Urban,5.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1162,dcid:NDAP_UnemploymentRate_Total,6.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1162,dcid:NDAP_UnemploymentRate_Male,6.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1162,dcid:NDAP_UnemploymentRate_Female,6.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1162,dcid:NDAP_UnemploymentRate_Rural,5.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1162,dcid:NDAP_UnemploymentRate_Urban,12.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1164,dcid:NDAP_UnemploymentRate_Total,3.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1164,dcid:NDAP_UnemploymentRate_Male,3.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1164,dcid:NDAP_UnemploymentRate_Female,4.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1164,dcid:NDAP_UnemploymentRate_Rural,3.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1164,dcid:NDAP_UnemploymentRate_Urban,7.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1165,dcid:NDAP_UnemploymentRate_Total,3.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1165,dcid:NDAP_UnemploymentRate_Male,3.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1165,dcid:NDAP_UnemploymentRate_Female,1.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1165,dcid:NDAP_UnemploymentRate_Rural,2.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1165,dcid:NDAP_UnemploymentRate_Urban,7.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1168,dcid:NDAP_UnemploymentRate_Total,2.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1168,dcid:NDAP_UnemploymentRate_Male,2.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1168,dcid:NDAP_UnemploymentRate_Female,2.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1168,dcid:NDAP_UnemploymentRate_Rural,1.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1168,dcid:NDAP_UnemploymentRate_Urban,7.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1353,dcid:NDAP_UnemploymentRate_Total,2.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1353,dcid:NDAP_UnemploymentRate_Male,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1353,dcid:NDAP_UnemploymentRate_Female,1.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1353,dcid:NDAP_UnemploymentRate_Rural,6.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1353,dcid:NDAP_UnemploymentRate_Urban,2.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1171,dcid:NDAP_UnemploymentRate_Total,8.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1171,dcid:NDAP_UnemploymentRate_Male,5.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1171,dcid:NDAP_UnemploymentRate_Female,16.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1171,dcid:NDAP_UnemploymentRate_Rural,8.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1171,dcid:NDAP_UnemploymentRate_Urban,8.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1172,dcid:NDAP_UnemploymentRate_Total,1.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1172,dcid:NDAP_UnemploymentRate_Male,1.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1172,dcid:NDAP_UnemploymentRate_Female,1.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1172,dcid:NDAP_UnemploymentRate_Rural,0.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1172,dcid:NDAP_UnemploymentRate_Urban,2.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Total,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Male,3.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Female,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Rural,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Urban,4.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Total,5.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Male,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Female,7.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Rural,5.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Urban,9.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Total,1.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Male,1.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Female,0.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Rural,0.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Urban,5.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Total,2.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Male,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Female,1.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Rural,1.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Urban,4.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Total,7.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Male,4.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Female,11.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
