observationAbout,observationDate,variableMeasured,value,#input
country/EST,1919,dcid:Count_Person,1069344,estonia_population.csv:2:3
country/EST,1920,dcid:Count_Person,1059000,estonia_population.csv:27:3
country/EST,1921,dcid:Count_Person,1076543,estonia_population.csv:52:3
country/EST,1922,dcid:Count_Person,1097733,estonia_population.csv:77:3
country/EST,1923,dcid:Count_Person,1107130,estonia_population.csv:102:3
country/EST,1923,dcid:Count_Person_0Years,20301,estonia_population.csv:103:3
country/EST,1923,dcid:Count_Person_1To4Years,68033,estonia_population.csv:104:3
country/EST,1923,dcid:Count_Person_5To9Years,83782,estonia_population.csv:105:3
country/EST,1923,dcid:Count_Person_10To14Years,110407,estonia_population.csv:106:3
country/EST,1923,dcid:Count_Person_15To19Years,108627,estonia_population.csv:107:3
country/EST,1923,dcid:Count_Person_20To24Years,99888,estonia_population.csv:108:3
country/EST,1923,dcid:Count_Person_25To29Years,84283,estonia_population.csv:109:3
country/EST,1923,dcid:Count_Person_30To34Years,80049,estonia_population.csv:110:3
country/EST,1923,dcid:Count_Person_35To39Years,74859,estonia_population.csv:111:3
country/EST,1923,dcid:Count_Person_40To44Years,68924,estonia_population.csv:112:3
country/EST,1923,dcid:Count_Person_45To49Years,67236,estonia_population.csv:113:3
country/EST,1923,dcid:Count_Person_50To54Years,56528,estonia_population.csv:114:3
country/EST,1923,dcid:Count_Person_55To59Years,53534,estonia_population.csv:115:3
country/EST,1923,dcid:Count_Person_60To64Years,47608,estonia_population.csv:116:3
country/EST,1923,dcid:Count_Person_65To69Years,34818,estonia_population.csv:117:3
country/EST,1923,dcid:Count_Person_70To74Years,24367,estonia_population.csv:118:3
country/EST,1923,dcid:Count_Person_75To79Years,13265,estonia_population.csv:119:3
country/EST,1923,dcid:Count_Person_80To84Years,7342,estonia_population.csv:120:3
country/EST,1923,dcid:Count_Person_85OrMoreYears,3279,estonia_population.csv:125:3
country/EST,1923,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:126:3
country/EST,1924,dcid:Count_Person,1114498,estonia_population.csv:127:3
country/EST,1924,dcid:Count_Person_0Years,22470,estonia_population.csv:128:3
country/EST,1924,dcid:Count_Person_1To4Years,69128,estonia_population.csv:129:3
country/EST,1924,dcid:Count_Person_5To9Years,79959,estonia_population.csv:130:3
country/EST,1924,dcid:Count_Person_10To14Years,108022,estonia_population.csv:131:3
country/EST,1924,dcid:Count_Person_15To19Years,109082,estonia_population.csv:132:3
country/EST,1924,dcid:Count_Person_20To24Years,100927,estonia_population.csv:133:3
country/EST,1924,dcid:Count_Person_25To29Years,87540,estonia_population.csv:134:3
country/EST,1924,dcid:Count_Person_30To34Years,78685,estonia_population.csv:135:3
country/EST,1924,dcid:Count_Person_35To39Years,76864,estonia_population.csv:136:3
country/EST,1924,dcid:Count_Person_40To44Years,69152,estonia_population.csv:137:3
country/EST,1924,dcid:Count_Person_45To49Years,67290,estonia_population.csv:138:3
country/EST,1924,dcid:Count_Person_50To54Years,58788,estonia_population.csv:139:3
country/EST,1924,dcid:Count_Person_55To59Years,52628,estonia_population.csv:140:3
country/EST,1924,dcid:Count_Person_60To64Years,48562,estonia_population.csv:141:3
country/EST,1924,dcid:Count_Person_65To69Years,36342,estonia_population.csv:142:3
country/EST,1924,dcid:Count_Person_70To74Years,24578,estonia_population.csv:143:3
country/EST,1924,dcid:Count_Person_75To79Years,13823,estonia_population.csv:144:3
country/EST,1924,dcid:Count_Person_80To84Years,7293,estonia_population.csv:145:3
country/EST,1924,dcid:Count_Person_85OrMoreYears,3365,estonia_population.csv:150:3
country/EST,1924,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:151:3
country/EST,1925,dcid:Count_Person,1116730,estonia_population.csv:152:3
country/EST,1925,dcid:Count_Person_0Years,21510,estonia_population.csv:153:3
country/EST,1925,dcid:Count_Person_1To4Years,73586,estonia_population.csv:154:3
country/EST,1925,dcid:Count_Person_5To9Years,74070,estonia_population.csv:155:3
country/EST,1925,dcid:Count_Person_10To14Years,106160,estonia_population.csv:156:3
country/EST,1925,dcid:Count_Person_15To19Years,108573,estonia_population.csv:157:3
country/EST,1925,dcid:Count_Person_20To24Years,102569,estonia_population.csv:158:3
country/EST,1925,dcid:Count_Person_25To29Years,89495,estonia_population.csv:159:3
country/EST,1925,dcid:Count_Person_30To34Years,78301,estonia_population.csv:160:3
country/EST,1925,dcid:Count_Person_35To39Years,76992,estonia_population.csv:161:3
country/EST,1925,dcid:Count_Person_40To44Years,69789,estonia_population.csv:162:3
country/EST,1925,dcid:Count_Person_45To49Years,66338,estonia_population.csv:163:3
country/EST,1925,dcid:Count_Person_50To54Years,62009,estonia_population.csv:164:3
country/EST,1925,dcid:Count_Person_55To59Years,50461,estonia_population.csv:165:3
country/EST,1925,dcid:Count_Person_60To64Years,49604,estonia_population.csv:166:3
country/EST,1925,dcid:Count_Person_65To69Years,37066,estonia_population.csv:167:3
country/EST,1925,dcid:Count_Person_70To74Years,25263,estonia_population.csv:168:3
country/EST,1925,dcid:Count_Person_75To79Years,14201,estonia_population.csv:169:3
country/EST,1925,dcid:Count_Person_80To84Years,7482,estonia_population.csv:170:3
country/EST,1925,dcid:Count_Person_85OrMoreYears,3261,estonia_population.csv:175:3
country/EST,1925,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:176:3
country/EST,1926,dcid:Count_Person,1117270,estonia_population.csv:177:3
country/EST,1926,dcid:Count_Person_0Years,20538,estonia_population.csv:178:3
country/EST,1926,dcid:Count_Person_1To4Years,76105,estonia_population.csv:179:3
country/EST,1926,dcid:Count_Person_5To9Years,73311,estonia_population.csv:180:3
country/EST,1926,dcid:Count_Person_10To14Years,99322,estonia_population.csv:181:3
country/EST,1926,dcid:Count_Person_15To19Years,109380,estonia_population.csv:182:3
country/EST,1926,dcid:Count_Person_20To24Years,102989,estonia_population.csv:183:3
country/EST,1926,dcid:Count_Person_25To29Years,91233,estonia_population.csv:184:3
country/EST,1926,dcid:Count_Person_30To34Years,78977,estonia_population.csv:185:3
country/EST,1926,dcid:Count_Person_35To39Years,76314,estonia_population.csv:186:3
country/EST,1926,dcid:Count_Person_40To44Years,70460,estonia_population.csv:187:3
country/EST,1926,dcid:Count_Person_45To49Years,65981,estonia_population.csv:188:3
country/EST,1926,dcid:Count_Person_50To54Years,62700,estonia_population.csv:189:3
country/EST,1926,dcid:Count_Person_55To59Years,50975,estonia_population.csv:190:3
country/EST,1926,dcid:Count_Person_60To64Years,48976,estonia_population.csv:191:3
country/EST,1926,dcid:Count_Person_65To69Years,38488,estonia_population.csv:192:3
country/EST,1926,dcid:Count_Person_70To74Years,25753,estonia_population.csv:193:3
country/EST,1926,dcid:Count_Person_75To79Years,15009,estonia_population.csv:194:3
country/EST,1926,dcid:Count_Person_80To84Years,7277,estonia_population.csv:195:3
country/EST,1926,dcid:Count_Person_85OrMoreYears,3482,estonia_population.csv:200:3
country/EST,1926,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:201:3
country/EST,1927,dcid:Count_Person,1116343,estonia_population.csv:202:3
country/EST,1927,dcid:Count_Person_0Years,20028,estonia_population.csv:203:3
country/EST,1927,dcid:Count_Person_1To4Years,74627,estonia_population.csv:204:3
country/EST,1927,dcid:Count_Person_5To9Years,77925,estonia_population.csv:205:3
country/EST,1927,dcid:Count_Person_10To14Years,91405,estonia_population.csv:206:3
country/EST,1927,dcid:Count_Person_15To19Years,107832,estonia_population.csv:207:3
country/EST,1927,dcid:Count_Person_20To24Years,103936,estonia_population.csv:208:3
country/EST,1927,dcid:Count_Person_25To29Years,92724,estonia_population.csv:209:3
country/EST,1927,dcid:Count_Person_30To34Years,80205,estonia_population.csv:210:3
country/EST,1927,dcid:Count_Person_35To39Years,75914,estonia_population.csv:211:3
country/EST,1927,dcid:Count_Person_40To44Years,71633,estonia_population.csv:212:3
country/EST,1927,dcid:Count_Person_45To49Years,65151,estonia_population.csv:213:3
country/EST,1927,dcid:Count_Person_50To54Years,63383,estonia_population.csv:214:3
country/EST,1927,dcid:Count_Person_55To59Years,51087,estonia_population.csv:215:3
country/EST,1927,dcid:Count_Person_60To64Years,49177,estonia_population.csv:216:3
country/EST,1927,dcid:Count_Person_65To69Years,38783,estonia_population.csv:217:3
country/EST,1927,dcid:Count_Person_70To74Years,26685,estonia_population.csv:218:3
country/EST,1927,dcid:Count_Person_75To79Years,15433,estonia_population.csv:219:3
country/EST,1927,dcid:Count_Person_80To84Years,7115,estonia_population.csv:220:3
country/EST,1927,dcid:Count_Person_85OrMoreYears,3300,estonia_population.csv:225:3
country/EST,1927,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:226:3
country/EST,1928,dcid:Count_Person,1114941,estonia_population.csv:227:3
country/EST,1928,dcid:Count_Person_0Years,19794,estonia_population.csv:228:3
country/EST,1928,dcid:Count_Person_1To4Years,73458,estonia_population.csv:229:3
country/EST,1928,dcid:Count_Person_5To9Years,82914,estonia_population.csv:230:3
country/EST,1928,dcid:Count_Person_10To14Years,81432,estonia_population.csv:231:3
country/EST,1928,dcid:Count_Person_15To19Years,106864,estonia_population.csv:232:3
country/EST,1928,dcid:Count_Person_20To24Years,103904,estonia_population.csv:233:3
country/EST,1928,dcid:Count_Person_25To29Years,94853,estonia_population.csv:234:3
country/EST,1928,dcid:Count_Person_30To34Years,80737,estonia_population.csv:235:3
country/EST,1928,dcid:Count_Person_35To39Years,76669,estonia_population.csv:236:3
country/EST,1928,dcid:Count_Person_40To44Years,71690,estonia_population.csv:237:3
country/EST,1928,dcid:Count_Person_45To49Years,65432,estonia_population.csv:238:3
country/EST,1928,dcid:Count_Person_50To54Years,63049,estonia_population.csv:239:3
country/EST,1928,dcid:Count_Person_55To59Years,52428,estonia_population.csv:240:3
country/EST,1928,dcid:Count_Person_60To64Years,48192,estonia_population.csv:241:3
country/EST,1928,dcid:Count_Person_65To69Years,40078,estonia_population.csv:242:3
country/EST,1928,dcid:Count_Person_70To74Years,26800,estonia_population.csv:243:3
country/EST,1928,dcid:Count_Person_75To79Years,16113,estonia_population.csv:244:3
country/EST,1928,dcid:Count_Person_80To84Years,6961,estonia_population.csv:245:3
country/EST,1928,dcid:Count_Person_85OrMoreYears,3573,estonia_population.csv:250:3
country/EST,1928,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:251:3
country/EST,1929,dcid:Count_Person,1116553,estonia_population.csv:252:3
country/EST,1929,dcid:Count_Person_0Years,20116,estonia_population.csv:253:3
country/EST,1929,dcid:Count_Person_1To4Years,71242,estonia_population.csv:254:3
country/EST,1929,dcid:Count_Person_5To9Years,86437,estonia_population.csv:255:3
country/EST,1929,dcid:Count_Person_10To14Years,77027,estonia_population.csv:256:3
country/EST,1929,dcid:Count_Person_15To19Years,104838,estonia_population.csv:257:3
country/EST,1929,dcid:Count_Person_20To24Years,103692,estonia_population.csv:258:3
country/EST,1929,dcid:Count_Person_25To29Years,95959,estonia_population.csv:259:3
country/EST,1929,dcid:Count_Person_30To34Years,83372,estonia_population.csv:260:3
country/EST,1929,dcid:Count_Person_35To39Years,75042,estonia_population.csv:261:3
country/EST,1929,dcid:Count_Person_40To44Years,73242,estonia_population.csv:262:3
country/EST,1929,dcid:Count_Person_45To49Years,65600,estonia_population.csv:263:3
country/EST,1929,dcid:Count_Person_50To54Years,62712,estonia_population.csv:264:3
country/EST,1929,dcid:Count_Person_55To59Years,54524,estonia_population.csv:265:3
country/EST,1929,dcid:Count_Person_60To64Years,46970,estonia_population.csv:266:3
country/EST,1929,dcid:Count_Person_65To69Years,40986,estonia_population.csv:267:3
country/EST,1929,dcid:Count_Person_70To74Years,27778,estonia_population.csv:268:3
country/EST,1929,dcid:Count_Person_75To79Years,16298,estonia_population.csv:269:3
country/EST,1929,dcid:Count_Person_80To84Years,7239,estonia_population.csv:270:3
country/EST,1929,dcid:Count_Person_85OrMoreYears,3479,estonia_population.csv:275:3
country/EST,1929,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:276:3
country/EST,1930,dcid:Count_Person,1114748,estonia_population.csv:277:3
country/EST,1930,dcid:Count_Person_0Years,19179,estonia_population.csv:278:3
country/EST,1930,dcid:Count_Person_1To4Years,70460,estonia_population.csv:279:3
country/EST,1930,dcid:Count_Person_5To9Years,90180,estonia_population.csv:280:3
country/EST,1930,dcid:Count_Person_10To14Years,71260,estonia_population.csv:281:3
country/EST,1930,dcid:Count_Person_15To19Years,102830,estonia_population.csv:282:3
country/EST,1930,dcid:Count_Person_20To24Years,103574,estonia_population.csv:283:3
country/EST,1930,dcid:Count_Person_25To29Years,97440,estonia_population.csv:284:3
country/EST,1930,dcid:Count_Person_30To34Years,85195,estonia_population.csv:285:3
country/EST,1930,dcid:Count_Person_35To39Years,74677,estonia_population.csv:286:3
country/EST,1930,dcid:Count_Person_40To44Years,73303,estonia_population.csv:287:3
country/EST,1930,dcid:Count_Person_45To49Years,66027,estonia_population.csv:288:3
country/EST,1930,dcid:Count_Person_50To54Years,61865,estonia_population.csv:289:3
country/EST,1930,dcid:Count_Person_55To59Years,57268,estonia_population.csv:290:3
country/EST,1930,dcid:Count_Person_60To64Years,44960,estonia_population.csv:291:3
country/EST,1930,dcid:Count_Person_65To69Years,41577,estonia_population.csv:292:3
country/EST,1930,dcid:Count_Person_70To74Years,28068,estonia_population.csv:293:3
country/EST,1930,dcid:Count_Person_75To79Years,16366,estonia_population.csv:294:3
country/EST,1930,dcid:Count_Person_80To84Years,7246,estonia_population.csv:295:3
country/EST,1930,dcid:Count_Person_85OrMoreYears,3273,estonia_population.csv:300:3
country/EST,1930,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:301:3
country/EST,1931,dcid:Count_Person,1117445,estonia_population.csv:302:3
country/EST,1931,dcid:Count_Person_0Years,19423,estonia_population.csv:303:3
country/EST,1931,dcid:Count_Person_1To4Years,69888,estonia_population.csv:304:3
country/EST,1931,dcid:Count_Person_5To9Years,91794,estonia_population.csv:305:3
country/EST,1931,dcid:Count_Person_10To14Years,71015,estonia_population.csv:306:3
country/EST,1931,dcid:Count_Person_15To19Years,96747,estonia_population.csv:307:3
country/EST,1931,dcid:Count_Person_20To24Years,104269,estonia_population.csv:308:3
country/EST,1931,dcid:Count_Person_25To29Years,98084,estonia_population.csv:309:3
country/EST,1931,dcid:Count_Person_30To34Years,87100,estonia_population.csv:310:3
country/EST,1931,dcid:Count_Person_35To39Years,75394,estonia_population.csv:311:3
country/EST,1931,dcid:Count_Person_40To44Years,72794,estonia_population.csv:312:3
country/EST,1931,dcid:Count_Person_45To49Years,67017,estonia_population.csv:313:3
country/EST,1931,dcid:Count_Person_50To54Years,61593,estonia_population.csv:314:3
country/EST,1931,dcid:Count_Person_55To59Years,57772,estonia_population.csv:315:3
country/EST,1931,dcid:Count_Person_60To64Years,45813,estonia_population.csv:316:3
country/EST,1931,dcid:Count_Person_65To69Years,41363,estonia_population.csv:317:3
country/EST,1931,dcid:Count_Person_70To74Years,29459,estonia_population.csv:318:3
country/EST,1931,dcid:Count_Person_75To79Years,16795,estonia_population.csv:319:3
country/EST,1931,dcid:Count_Person_80To84Years,7803,estonia_population.csv:320:3
country/EST,1931,dcid:Count_Person_85OrMoreYears,3322,estonia_population.csv:325:3
country/EST,1931,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:326:3
country/EST,1932,dcid:Count_Person,1119339,estonia_population.csv:327:3
country/EST,1932,dcid:Count_Person_0Years,19486,estonia_population.csv:328:3
country/EST,1932,dcid:Count_Person_1To4Years,69868,estonia_population.csv:329:3
country/EST,1932,dcid:Count_Person_5To9Years,90425,estonia_population.csv:330:3
country/EST,1932,dcid:Count_Person_10To14Years,76295,estonia_population.csv:331:3
country/EST,1932,dcid:Count_Person_15To19Years,88940,estonia_population.csv:332:3
country/EST,1932,dcid:Count_Person_20To24Years,103342,estonia_population.csv:333:3
country/EST,1932,dcid:Count_Person_25To29Years,99045,estonia_population.csv:334:3
country/EST,1932,dcid:Count_Person_30To34Years,88977,estonia_population.csv:335:3
country/EST,1932,dcid:Count_Person_35To39Years,76420,estonia_population.csv:336:3
country/EST,1932,dcid:Count_Person_40To44Years,72767,estonia_population.csv:337:3
country/EST,1932,dcid:Count_Person_45To49Years,68128,estonia_population.csv:338:3
country/EST,1932,dcid:Count_Person_50To54Years,61216,estonia_population.csv:339:3
country/EST,1932,dcid:Count_Person_55To59Years,58275,estonia_population.csv:340:3
country/EST,1932,dcid:Count_Person_60To64Years,46028,estonia_population.csv:341:3
country/EST,1932,dcid:Count_Person_65To69Years,41580,estonia_population.csv:342:3
country/EST,1932,dcid:Count_Person_70To74Years,29926,estonia_population.csv:343:3
country/EST,1932,dcid:Count_Person_75To79Years,17306,estonia_population.csv:344:3
country/EST,1932,dcid:Count_Person_80To84Years,8109,estonia_population.csv:345:3
country/EST,1932,dcid:Count_Person_85OrMoreYears,3206,estonia_population.csv:350:3
country/EST,1932,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:351:3
country/EST,1933,dcid:Count_Person,1123734,estonia_population.csv:352:3
country/EST,1933,dcid:Count_Person_0Years,19300,estonia_population.csv:353:3
country/EST,1933,dcid:Count_Person_1To4Years,69732,estonia_population.csv:354:3
country/EST,1933,dcid:Count_Person_5To9Years,89761,estonia_population.csv:355:3
country/EST,1933,dcid:Count_Person_10To14Years,82767,estonia_population.csv:356:3
country/EST,1933,dcid:Count_Person_15To19Years,79659,estonia_population.csv:357:3
country/EST,1933,dcid:Count_Person_20To24Years,103127,estonia_population.csv:358:3
country/EST,1933,dcid:Count_Person_25To29Years,99498,estonia_population.csv:359:3
country/EST,1933,dcid:Count_Person_30To34Years,91019,estonia_population.csv:360:3
country/EST,1933,dcid:Count_Person_35To39Years,77559,estonia_population.csv:361:3
country/EST,1933,dcid:Count_Person_40To44Years,73459,estonia_population.csv:362:3
country/EST,1933,dcid:Count_Person_45To49Years,68680,estonia_population.csv:363:3
country/EST,1933,dcid:Count_Person_50To54Years,61652,estonia_population.csv:364:3
country/EST,1933,dcid:Count_Person_55To59Years,58310,estonia_population.csv:365:3
country/EST,1933,dcid:Count_Person_60To64Years,47342,estonia_population.csv:366:3
country/EST,1933,dcid:Count_Person_65To69Years,41325,estonia_population.csv:367:3
country/EST,1933,dcid:Count_Person_70To74Years,31096,estonia_population.csv:368:3
country/EST,1933,dcid:Count_Person_75To79Years,17615,estonia_population.csv:369:3
country/EST,1933,dcid:Count_Person_80To84Years,8520,estonia_population.csv:370:3
country/EST,1933,dcid:Count_Person_85OrMoreYears,3313,estonia_population.csv:375:3
country/EST,1933,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:376:3
country/EST,1934,dcid:Count_Person,1124769,estonia_population.csv:377:3
country/EST,1934,dcid:Count_Person_0Years,17749,estonia_population.csv:378:3
country/EST,1934,dcid:Count_Person_1To4Years,68778,estonia_population.csv:379:3
country/EST,1934,dcid:Count_Person_5To9Years,88605,estonia_population.csv:380:3
country/EST,1934,dcid:Count_Person_10To14Years,86719,estonia_population.csv:381:3
country/EST,1934,dcid:Count_Person_15To19Years,75084,estonia_population.csv:382:3
country/EST,1934,dcid:Count_Person_20To24Years,101929,estonia_population.csv:383:3
country/EST,1934,dcid:Count_Person_25To29Years,99160,estonia_population.csv:384:3
country/EST,1934,dcid:Count_Person_30To34Years,92621,estonia_population.csv:385:3
country/EST,1934,dcid:Count_Person_35To39Years,79928,estonia_population.csv:386:3
country/EST,1934,dcid:Count_Person_40To44Years,71896,estonia_population.csv:387:3
country/EST,1934,dcid:Count_Person_45To49Years,70091,estonia_population.csv:388:3
country/EST,1934,dcid:Count_Person_50To54Years,61978,estonia_population.csv:389:3
country/EST,1934,dcid:Count_Person_55To59Years,57814,estonia_population.csv:390:3
country/EST,1934,dcid:Count_Person_60To64Years,49539,estonia_population.csv:391:3
country/EST,1934,dcid:Count_Person_65To69Years,40072,estonia_population.csv:392:3
country/EST,1934,dcid:Count_Person_70To74Years,32307,estonia_population.csv:393:3
country/EST,1934,dcid:Count_Person_75To79Years,18262,estonia_population.csv:394:3
country/EST,1934,dcid:Count_Person_80To84Years,8786,estonia_population.csv:395:3
country/EST,1934,dcid:Count_Person_85OrMoreYears,3451,estonia_population.csv:400:3
country/EST,1934,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:401:3
country/EST,1935,dcid:Count_Person,1127928,estonia_population.csv:402:3
country/EST,1935,dcid:Count_Person_0Years,17331,estonia_population.csv:403:3
country/EST,1935,dcid:Count_Person_1To4Years,67327,estonia_population.csv:404:3
country/EST,1935,dcid:Count_Person_5To9Years,87524,estonia_population.csv:405:3
country/EST,1935,dcid:Count_Person_10To14Years,90590,estonia_population.csv:406:3
country/EST,1935,dcid:Count_Person_15To19Years,69803,estonia_population.csv:407:3
country/EST,1935,dcid:Count_Person_20To24Years,100223,estonia_population.csv:408:3
country/EST,1935,dcid:Count_Person_25To29Years,100032,estonia_population.csv:409:3
country/EST,1935,dcid:Count_Person_30To34Years,94496,estonia_population.csv:410:3
country/EST,1935,dcid:Count_Person_35To39Years,82103,estonia_population.csv:411:3
country/EST,1935,dcid:Count_Person_40To44Years,71846,estonia_population.csv:412:3
country/EST,1935,dcid:Count_Person_45To49Years,70488,estonia_population.csv:413:3
country/EST,1935,dcid:Count_Person_50To54Years,62637,estonia_population.csv:414:3
country/EST,1935,dcid:Count_Person_55To59Years,57454,estonia_population.csv:415:3
country/EST,1935,dcid:Count_Person_60To64Years,52163,estonia_population.csv:416:3
country/EST,1935,dcid:Count_Person_65To69Years,38689,estonia_population.csv:417:3
country/EST,1935,dcid:Count_Person_70To74Years,33260,estonia_population.csv:418:3
country/EST,1935,dcid:Count_Person_75To79Years,19098,estonia_population.csv:419:3
country/EST,1935,dcid:Count_Person_80To84Years,9177,estonia_population.csv:420:3
country/EST,1935,dcid:Count_Person_85OrMoreYears,3687,estonia_population.csv:425:3
country/EST,1935,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:426:3
country/EST,1936,dcid:Count_Person,1129804,estonia_population.csv:427:3
country/EST,1936,dcid:Count_Person_0Years,17932,estonia_population.csv:428:3
country/EST,1936,dcid:Count_Person_1To4Years,65596,estonia_population.csv:429:3
country/EST,1936,dcid:Count_Person_5To9Years,86550,estonia_population.csv:430:3
country/EST,1936,dcid:Count_Person_10To14Years,92127,estonia_population.csv:431:3
country/EST,1936,dcid:Count_Person_15To19Years,70122,estonia_population.csv:432:3
country/EST,1936,dcid:Count_Person_20To24Years,94806,estonia_population.csv:433:3
country/EST,1936,dcid:Count_Person_25To29Years,100874,estonia_population.csv:434:3
country/EST,1936,dcid:Count_Person_30To34Years,95426,estonia_population.csv:435:3
country/EST,1936,dcid:Count_Person_35To39Years,84306,estonia_population.csv:436:3
country/EST,1936,dcid:Count_Person_40To44Years,72572,estonia_population.csv:437:3
country/EST,1936,dcid:Count_Person_45To49Years,70085,estonia_population.csv:438:3
country/EST,1936,dcid:Count_Person_50To54Years,63869,estonia_population.csv:439:3
country/EST,1936,dcid:Count_Person_55To59Years,57284,estonia_population.csv:440:3
country/EST,1936,dcid:Count_Person_60To64Years,52474,estonia_population.csv:441:3
country/EST,1936,dcid:Count_Person_65To69Years,39468,estonia_population.csv:442:3
country/EST,1936,dcid:Count_Person_70To74Years,33049,estonia_population.csv:443:3
country/EST,1936,dcid:Count_Person_75To79Years,20141,estonia_population.csv:444:3
country/EST,1936,dcid:Count_Person_80To84Years,9303,estonia_population.csv:445:3
country/EST,1936,dcid:Count_Person_85OrMoreYears,3820,estonia_population.csv:450:3
country/EST,1936,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:451:3
country/EST,1937,dcid:Count_Person,1130143,estonia_population.csv:452:3
country/EST,1937,dcid:Count_Person_0Years,18259,estonia_population.csv:453:3
country/EST,1937,dcid:Count_Person_1To4Years,64211,estonia_population.csv:454:3
country/EST,1937,dcid:Count_Person_5To9Years,86207,estonia_population.csv:455:3
country/EST,1937,dcid:Count_Person_10To14Years,90433,estonia_population.csv:456:3
country/EST,1937,dcid:Count_Person_15To19Years,75513,estonia_population.csv:457:3
country/EST,1937,dcid:Count_Person_20To24Years,87078,estonia_population.csv:458:3
country/EST,1937,dcid:Count_Person_25To29Years,100470,estonia_population.csv:459:3
country/EST,1937,dcid:Count_Person_30To34Years,96539,estonia_population.csv:460:3
country/EST,1937,dcid:Count_Person_35To39Years,86406,estonia_population.csv:461:3
country/EST,1937,dcid:Count_Person_40To44Years,73553,estonia_population.csv:462:3
country/EST,1937,dcid:Count_Person_45To49Years,70138,estonia_population.csv:463:3
country/EST,1937,dcid:Count_Person_50To54Years,64825,estonia_population.csv:464:3
country/EST,1937,dcid:Count_Person_55To59Years,57084,estonia_population.csv:465:3
country/EST,1937,dcid:Count_Person_60To64Years,52864,estonia_population.csv:466:3
country/EST,1937,dcid:Count_Person_65To69Years,39596,estonia_population.csv:467:3
country/EST,1937,dcid:Count_Person_70To74Years,33203,estonia_population.csv:468:3
country/EST,1937,dcid:Count_Person_75To79Years,20537,estonia_population.csv:469:3
country/EST,1937,dcid:Count_Person_80To84Years,9402,estonia_population.csv:470:3
